sample_id,price
100179,0.0
245611,0.0
146263,0.0
95658,0.0
36806,0.0
148239,0.0
92659,0.0
3780,0.0
196940,0.0
20472,0.0
121721,0.0
127336,0.0
20801,0.0
30103,0.0
68691,0.0
230703,0.0
3342,0.0
115635,0.0
221565,0.0
265927,0.0
290421,0.0
222203,0.0
40595,0.0
157931,0.0
41814,0.0
250478,0.0
130232,0.0
155825,0.0
42104,0.0
148748,0.0
247548,0.0
262167,0.0
100183,0.0
168985,0.0
18411,0.0
111287,0.0
156813,0.0
194861,0.0
104298,0.0
59033,0.0
31133,0.0
299318,0.0
255038,0.0
220578,0.0
38995,0.0
253068,0.0
282143,0.0
226531,0.0
233215,0.0
33295,0.0
198185,0.0
238324,0.0
121672,0.0
21434,0.0
61747,0.0
270417,0.0
105202,0.0
202880,0.0
79564,0.0
251317,0.0
205434,0.0
15315,0.0
276163,0.0
245021,0.0
25664,0.0
90451,0.0
5215,0.0
68223,0.0
135447,0.0
58777,0.0
73979,0.0
173699,0.0
201120,0.0
64448,0.0
243239,0.0
280496,0.0
293812,0.0
35203,0.0
31858,0.0
162188,0.0
193450,0.0
34991,0.0
232133,0.0
294874,0.0
160416,0.0
104466,0.0
284624,0.0
19742,0.0
87611,0.0
227957,0.0
68427,0.0
204601,0.0
107223,0.0
237588,0.0
1313,0.0
196900,0.0
22107,0.0
73030,0.0
181909,0.0
23045,0.0
142744,0.0
169122,0.0
239815,0.0
41952,0.0
227911,0.0
31484,0.0
252567,0.0
225977,0.0
48243,0.0
201046,0.0
161001,0.0
292827,0.0
159584,0.0
281316,0.0
224188,0.0
281823,0.0
214851,0.0
67570,0.0
102740,0.0
11978,0.0
289925,0.0
40458,0.0
278700,0.0
38662,0.0
99886,0.0
172816,0.0
275563,0.0
26172,0.0
277062,0.0
82592,0.0
266300,0.0
202617,0.0
234007,0.0
78684,0.0
42824,0.0
128386,0.0
252965,0.0
277363,0.0
54646,0.0
149645,0.0
206564,0.0
29321,0.0
193776,0.0
60214,0.0
133606,0.0
95844,0.0
75072,0.0
71643,0.0
297677,0.0
298180,0.0
267622,0.0
129731,0.0
72776,0.0
286221,0.0
93467,0.0
173148,0.0
143720,0.0
52592,0.0
225085,0.0
213670,0.0
142420,0.0
1008,0.0
128631,0.0
44224,0.0
16363,0.0
64551,0.0
217996,0.0
262406,0.0
165161,0.0
238864,0.0
227930,0.0
77202,0.0
193685,0.0
114683,0.0
197108,0.0
200477,0.0
144035,0.0
281994,0.0
63221,0.0
269260,0.0
284873,0.0
94407,0.0
243579,0.0
51262,0.0
115285,0.0
247763,0.0
298054,0.0
275947,0.0
33858,0.0
189285,0.0
62318,0.0
93113,0.0
155548,0.0
220244,0.0
22363,0.0
295868,0.0
212510,0.0
232238,0.0
269310,0.0
134611,0.0
154663,0.0
248314,0.0
59089,0.0
37902,0.0
247147,0.0
80803,0.0
121057,0.0
30163,0.0
154861,0.0
41265,0.0
160502,0.0
290401,0.0
62782,0.0
151651,0.0
226249,0.0
48224,0.0
146944,0.0
3438,0.0
161259,0.0
47173,0.0
25800,0.0
50001,0.0
290756,0.0
181986,0.0
10843,0.0
190551,0.0
85154,0.0
134653,0.0
229643,0.0
95464,0.0
54059,0.0
115479,0.0
97906,0.0
127371,0.0
24362,0.0
118312,0.0
22583,0.0
19732,0.0
212955,0.0
21886,0.0
224325,0.0
203894,0.0
191752,0.0
286196,0.0
248824,0.0
43717,0.0
262589,0.0
140499,0.0
242880,0.0
201240,0.0
89117,0.0
298713,0.0
271738,0.0
38576,0.0
950,0.0
79433,0.0
66341,0.0
55422,0.0
182312,0.0
866,0.0
162209,0.0
287083,0.0
265459,0.0
296124,0.0
15509,0.0
112466,0.0
101382,0.0
282568,0.0
92557,0.0
283523,0.0
168873,0.0
223932,0.0
199772,0.0
33589,0.0
235524,0.0
100593,0.0
295833,0.0
194828,0.0
173679,0.0
84443,0.0
19827,0.0
159217,0.0
200101,0.0
40815,0.0
106079,0.0
287913,0.0
286246,0.0
230574,0.0
73645,0.0
56580,0.0
185057,0.0
110193,0.0
265456,0.0
272119,0.0
73684,0.0
84917,0.0
254051,0.0
213640,0.0
5941,0.0
192025,0.0
295491,0.0
14394,0.0
219359,0.0
292038,0.0
236046,0.0
219569,0.0
251251,0.0
193520,0.0
153393,0.0
112673,0.0
66961,0.0
59610,0.0
187539,0.0
196138,0.0
27796,0.0
192821,0.0
217441,0.0
106554,0.0
203432,0.0
73634,0.0
53665,0.0
226789,0.0
46549,0.0
234314,0.0
112654,0.0
239127,0.0
93245,0.0
207744,0.0
17530,0.0
221997,0.0
45669,0.0
166053,0.0
270552,0.0
183394,0.0
7286,0.0
111584,0.0
168394,0.0
294463,0.0
18251,0.0
203229,0.0
2599,0.0
154170,0.0
213714,0.0
11554,0.0
262927,0.0
156465,0.0
53995,0.0
129260,0.0
281072,0.0
29191,0.0
246389,0.0
102936,0.0
63126,0.0
21235,0.0
176587,0.0
111728,0.0
140389,0.0
224260,0.0
95308,0.0
149658,0.0
97804,0.0
174598,0.0
19672,0.0
216342,0.0
281952,0.0
53666,0.0
258593,0.0
33650,0.0
43438,0.0
148107,0.0
98687,0.0
213206,0.0
245479,0.0
236509,0.0
251785,0.0
20793,0.0
64682,0.0
150402,0.0
